"src","tgt"
"1700","Before 1900" 
"1800","Before 1900" 
"1805","Before 1900"
"1820","Before 1900"
"1825","Before 1900"
"1849","Before 1900"
"1850","Before 1900"
"1867","Before 1900"
"1876","Before 1900"
"1880","Before 1900"
"1885","Before 1900"
"1889","Before 1900"
"1890","Before 1900"
"1900","1900-1929"
"1902","1900-1929"
"1910","1900-1929"
"1915","1900-1929"
"1920","1900-1929"
"1929","1900-1929"
"1930","1930-1949"
"1935","1930-1949"
"1940","1930-1949"
"1950","1950-1966"
"1956","1950-1966"
"1960","1950-1966"
"1965","1950-1966"
"1967","1967-1975"
"1969","1967-1975"
"1970","1967-1975"
"1975","1976-1982"
"1980","1976-1982"
"1983","1983-1990"
"1985","1983-1990"
"1990","1983-1990"
"1991","1991-1995"
"1992","1991-1995"
"1995","1991-1995"
"1996","1996-2002"
"1998","1996-2002"
"2000","1996-2002"
"2001","1996-2002"
"2002","1996-2002"
"2003","2003-2006"
"2004","2003-2006"
"2005","2003-2006"
"2006","2003-2006"
"2007","2007 onwards"
"2008","2007 onwards"
"2009","2007 onwards"
"2010","2007 onwards"
"2011","2007 onwards"
"2012","2007 onwards"
"2013","2007 onwards"
"2014","2007 onwards"
"2015","2007 onwards"
"2016","2007 onwards"
"2017","2007 onwards"
"2018","2007 onwards"
"2019","2007 onwards"
"2020","2007 onwards"
"2021","2007 onwards"
"2022","2007 onwards"
"2023","2007 onwards"
"2024","2007 onwards"
"2025","2007 onwards"
"2030","2007 onwards"
"2031","2007 onwards"
"2033","2007 onwards"
"2081","2007 onwards"
"2121","2007 onwards"
"England and Wales: 1900-1929","1900-1929"
"England and Wales: 1930-1949","1930-1949"
"England and Wales: 1950-1966","1950-1966"
"England and Wales: 1967-1975","1967-1975"
"England and Wales: 1976-1982","1976-1982"
"England and Wales: 1983-1990","1983-1990"
"England and Wales: 1991-1995","1991-1995"
"England and Wales: 1996-2002","1996-2002"
"England and Wales: 2003-2006","2003-2006"
"England and Wales: 2007 onwards","2007 onwards"
"England and Wales: 2007-2011","2007 onwards"
"England and Wales: 2012 onwards","2007 onwards"
"England and Wales: before 1900","Before 1900"
"INVALID!","N/A"
"NO DATA!","N/A"
"Not applicable","N/A"
