moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
1995-01,486.0,2.0,122.0,352.0,282.0,177.0,326.0,52.0,,176.0,28.0,1724.0,74.0,1459.0,274.0,18.0
1995-02,536.0,2.0,137.0,349.0,357.0,213.0,435.0,67.0,1.0,139.0,20.0,2251.0,34.0,1784.0,316.0,9.0
1995-03,839.0,14.0,202.0,549.0,460.0,272.0,646.0,88.0,5.0,217.0,34.0,3372.0,47.0,2632.0,507.0,12.0
1995-04,664.0,5.0,154.0,398.0,353.0,210.0,536.0,69.0,9.0,195.0,60.0,2632.0,58.0,2145.0,385.0,6.0
1995-05,734.0,6.0,166.0,498.0,419.0,327.0,618.0,82.0,4.0,246.0,18.0,3121.0,71.0,2504.0,463.0,12.0
1995-06,892.0,32.0,216.0,591.0,686.0,359.0,849.0,120.0,6.0,266.0,50.0,4320.0,66.0,3409.0,743.0,13.0
1995-07,692.0,12.0,143.0,465.0,374.0,243.0,523.0,77.0,2.0,175.0,21.0,2513.0,83.0,2167.0,380.0,17.0
1995-08,660.0,7.0,133.0,536.0,378.0,209.0,571.0,110.0,1.0,252.0,22.0,2900.0,33.0,2517.0,419.0,15.0
1995-09,663.0,9.0,158.0,555.0,399.0,284.0,624.0,67.0,1.0,213.0,20.0,3153.0,43.0,2649.0,485.0,23.0
1995-10,602.0,6.0,115.0,497.0,382.0,233.0,495.0,104.0,,191.0,48.0,2721.0,56.0,2241.0,387.0,21.0
1995-11,666.0,17.0,190.0,540.0,416.0,250.0,564.0,93.0,,182.0,40.0,2971.0,40.0,2486.0,413.0,13.0
1995-12,893.0,18.0,228.0,719.0,553.0,358.0,807.0,123.0,2.0,328.0,24.0,4266.0,47.0,3524.0,656.0,19.0
1996-01,385.0,13.0,88.0,347.0,285.0,173.0,281.0,68.0,2.0,185.0,25.0,1735.0,26.0,1392.0,237.0,13.0
1996-02,514.0,12.0,115.0,407.0,313.0,201.0,431.0,71.0,2.0,196.0,22.0,2167.0,64.0,1796.0,330.0,11.0
1996-03,683.0,15.0,206.0,547.0,428.0,282.0,654.0,108.0,6.0,270.0,27.0,3309.0,70.0,2636.0,465.0,23.0
1996-04,569.0,9.0,170.0,513.0,381.0,231.0,467.0,106.0,2.0,189.0,22.0,2484.0,91.0,2145.0,396.0,14.0
1996-05,711.0,11.0,172.0,605.0,432.0,333.0,674.0,112.0,2.0,221.0,32.0,3508.0,96.0,3040.0,543.0,12.0
1996-06,798.0,15.0,300.0,618.0,561.0,410.0,768.0,126.0,3.0,287.0,40.0,4389.0,96.0,3341.0,673.0,13.0
1996-07,661.0,23.0,180.0,674.0,413.0,266.0,524.0,133.0,,225.0,22.0,2781.0,108.0,2538.0,440.0,14.0
